name_in_budget,Team_Name
Alabama State,Alabama St
Alabama at Birmingham,UAB
Albany,Albany NY
Alcorn State,Alcorn St
Appalachian State,Appalachian St
Arizona State,Arizona St
Arkansas State,Arkansas St
Arkansas-Little Rock,Ark Little Rock
Arkansas-Pine Bluff, Ark Pine Bluff
Ball State,Ball St
Boise State,Boise St
California Polytechnic,Cal Poly SLO
California State-Bakersfield,CS Bakersfield
California State-Fullerton,CS Fullerton
California State-Northridge,CS Northridge
California-Davis,UC Davis
California-Irvine,UC Irvine
California-Riverside,UC Riverside
California-Santa Barbara,Santa Barbara
Central Arkansas,Cent Arkansas
Central Connecticut,Central Conn
Central Florida,UCF
Central Michigan,C Michigan
Cleveland State,Cleveland St
Coastal Carolina,Coastal Car
College of Charleston,Col Charleston
Colorado State,Colorado St
Coppin State,Coppin St
Delaware State,Delaware St
East Tennessee State,East Tennessee St
Eastern Illinois,E Illinois
Eastern Kentucky,E Kentucky
Eastern Michigan,E Michigan
Eastern Washington,E Washington
Florida Atlantic,FL Atlantic
Florida Gulf Coast,FL Gulf Coast
Florida International,Florida Intl
Florida State,Florida St
Fresno State,Fresno St
Georgia Southern,Ga Southern
Georgia State,Georgia St
Grambling State,Grambling St
Idaho State,Idaho St
Illinois State,Illinois St
Illinois-Chicago,IL Chicago
Indiana State,Indiana St
Indiana-Purdue Fort Wayne,IPFW
Indiana-Purdue Indianapolis,IUPUI
Iowa State,Iowa St
Jackson State,Jackson St
Jacksonville State,Jacksonville St
Kansas State,Kansas St
Kennesaw State,Kennesaw St
Kent State,Kent St
Long Beach State,Long Beach St
Louisiana-Lafayette,ULL
Louisiana-Monroe,ULM
Maryland-Baltimore Cty,UMBC
Maryland-Eastern Shore,MD E Shore
Massachusetts-Lowell,MA Lowell
McNeese State,McNeese St
Miami (Ohio),Miami OH
Michigan State,Michigan St
Middle Tennessee,MTSU
Mississippi State,Mississippi St
Mississippi Valley State,Mississippi Valley St
Missouri State,Missouri St
Missouri-Kansas City,Missouri KC
Montana State,Montana St
Morehead State,Morehead St
Morgan State,Morgan St
Murray State,Murray St
Nebraska-Omaha,NE Omaha
Nevada-Las Vegas,UNLV
New Jersey Tech,NJIT
New Mexico State,New Mexico St
Nicholls State,Nicholls St
Norfolk State,Norfolk St
North Carolina A&T,NC A&T
North Carolina Asheville,UNC Asheville
North Carolina Central,NC Central
North Carolina Greensboro,UNC Greensboro
North Carolina State,North Carolina St
North Carolina Wilmington,UNC Wilmington
North Dakota State,North Dakota St
Northern Colorado,N Colorado
Northern Illinois,N Illinois
Northern Kentucky,N Kentucky
Northwestern State,Northwestern St La
Ohio State,Ohio St
Oklahoma State,Oklahoma St
Oregon State,Oregon St
Penn State,Penn St
Portland State,Portland St
Prairie View A&M,Prairie View
Sacramento State,Sacramento St
Sam Houston State,Sam Houston St
San Diego State,San Diego St
San Jose State,San Jose St
Savannah State,Savannah St
South Carolina State,South Carolina St
South Carolina Upstate,SC Upstate
South Dakota State,South Dakota St
Southeast Missouri State,Southeast Missouri St
Southeastern Louisiana,SE Louisiana
Southern,Southern Univ
Southern Illinois,S Illinois
Southern Illinois Edwardsville,Edwardsville
Southern Mississippi,Southern Miss
Stephen F. Austin,SF Austin
Tennessee State,Tennessee St
Tennessee-Chattanooga,Chattanooga
Tennessee-Martin,TN Martin
Texas A&M-Corpus Christi,Texas A&M
Texas Southern,TX Southern
Texas State,Texas St
Texas-Arlington,UT Arlington
Texas-El Paso,UTEP
Texas-Pan American,UTRGV
Texas-San Antonio,UT San Antonio
Utah State,Utah St
Virginia Commonwealth,VA Commonwealth
Washington State,Washington St
Weber State,Weber St
Western Carolina,W Carolina
Western Illinois,W Illinois
Western Kentucky,WKU
Western Michigan,W Michigan
Wichita State,Wichita St
Wisconsin-Green Bay,WI Green Bay
Wisconsin-Milwaukee,WI Milwaukee
Wright State,Wright St
Youngstown State,Youngstown St
